Vbat ,Vbias47:p (temp=-4.00e+01) (A),Vbias47:p (temp=2.50e+01) (A),Vbias47:p (temp=8.50e+01) (A)
900.0E-3,-8.328E-6,-7.789E-6,-7.316E-6
950.0E-3,-8.945E-6,-8.348E-6,-7.832E-6
1.000,-9.562E-6,-8.906E-6,-8.345E-6
1.050,-10.18E-6,-9.461E-6,-8.853E-6
1.100,-10.78E-6,-10.01E-6,-9.350E-6
1.150,-11.37E-6,-10.52E-6,-9.810E-6
1.200,-11.83E-6,-10.92E-6,-10.17E-6
1.250,-12.04E-6,-11.14E-6,-10.41E-6
1.300,-12.12E-6,-11.25E-6,-10.54E-6
1.350,-12.16E-6,-11.31E-6,-10.61E-6
1.400,-12.17E-6,-11.34E-6,-10.65E-6
1.450,-12.18E-6,-11.35E-6,-10.67E-6
1.500,-12.18E-6,-11.36E-6,-10.69E-6
1.550,-12.19E-6,-11.37E-6,-10.70E-6
1.600,-12.19E-6,-11.37E-6,-10.70E-6
