/Vbias36b/PLUS (Vbias=1.6,temp=-40) X,/Vbias36b/PLUS (Vbias=1.6,temp=-40) Y,/Vbias36b/PLUS (Vbias=1.6,temp=85) X,/Vbias36b/PLUS (Vbias=1.6,temp=85) Y,/Vbias36b/PLUS (Vbias=0.9,temp=-40) X,/Vbias36b/PLUS (Vbias=0.9,temp=-40) Y,/Vbias36b/PLUS (Vbias=0.9,temp=85) X,/Vbias36b/PLUS (Vbias=0.9,temp=85) Y
0.9,-1.156831261433823e-05,0.9,-1.053471231798386e-05,0.9,-1.083738359051681e-05,0.9,-9.756805356090791e-06
0.9500000000000001,-1.190652596827863e-05,0.9500000000000001,-1.085595202286252e-05,0.9500000000000001,-1.119899316873622e-05,0.9500000000000001,-1.010114235572296e-05
1,-1.223280103666147e-05,1,-1.11654726533129e-05,1,-1.154250170112431e-05,1,-1.042849495276017e-05
1.05,-1.255007485984227e-05,1.05,-1.146564017121522e-05,1.05,-1.187254008140168e-05,1.05,-1.074251342719082e-05
1.1,-1.286052092233925e-05,1.1,-1.175829389977247e-05,1.1,-1.219244364438449e-05,1.1,-1.104592149531685e-05
1.15,-1.316577401249833e-05,1.15,-1.204488383719031e-05,1.15,-1.250466598081652e-05,1.15,-1.134082775235709e-05
1.2,-1.346707770419111e-05,1.2,-1.232656491811428e-05,1.2,-1.281104417974053e-05,1.2,-1.162888431557682e-05
1.25,-1.376538608054262e-05,1.25,-1.260426518043848e-05,1.25,-1.311297100261286e-05,1.25,-1.191139969365335e-05
1.3,-1.406143571419838e-05,1.3,-1.287873592524663e-05,1.3,-1.341151154947e-05,1.3,-1.218941674353969e-05
1.35,-1.435579762195786e-05,1.35,-1.315058919954247e-05,1.35,-1.370748611509946e-05,1.35,-1.246377658987844e-05
1.4,-1.464891548604687e-05,1.4,-1.34203259295663e-05,1.4,-1.400152950019951e-05,1.4,-1.273516463427686e-05
1.45,-1.494113429664952e-05,1.45,-1.368835767036474e-05,1.45,-1.429413437072423e-05,1.45,-1.300414005333574e-05
1.5,-1.523272209373926e-05,1.5,-1.395502341562979e-05,1.5,-1.458568345695809e-05,1.5,-1.327116074438603e-05
1.55,-1.552388668629855e-05,1.55,-1.422060287125942e-05,1.55,-1.487647385367534e-05,1.55,-1.353660267356777e-05
1.6,-1.581478859438732e-05,1.6,-1.448532703367576e-05,1.6,-1.516673567207406e-05,1.6,-1.380077486778159e-05
