freq (Hz),net011 (V),net016 (V)
1.000,5.358E3,47.87E3
1.585,5.358E3,47.87E3
2.512,5.358E3,47.87E3
3.981,5.358E3,47.87E3
6.310,5.358E3,47.87E3
10.00,5.358E3,47.86E3
15.85,5.358E3,47.85E3
25.12,5.358E3,47.81E3
39.81,5.358E3,47.72E3
63.10,5.357E3,47.50E3
100.0,5.357E3,46.95E3
158.5,5.355E3,45.66E3
251.2,5.350E3,42.83E3
398.1,5.337E3,37.53E3
631.0,5.307E3,29.84E3
1.000E3,5.233E3,21.51E3
1.585E3,5.060E3,14.48E3
2.512E3,4.692E3,9.398E3
3.981E3,4.035E3,6.000E3
6.310E3,3.137E3,3.804E3
10.00E3,2.222E3,2.405E3
15.85E3,1.480E3,1.518E3
25.12E3,956.3,958.3
39.81E3,609.2,604.7
63.10E3,385.9,381.6
100.0E3,243.9,240.8
158.5E3,154.0,151.9
251.2E3,97.16,95.85
398.1E3,61.30,60.47
631.0E3,38.67,38.16
1.000E6,24.37,24.07
1.585E6,15.34,15.19
2.512E6,9.623,9.577
3.981E6,5.983,6.036
6.310E6,3.645,3.796
10.00E6,2.129,2.376
15.85E6,1.164,1.467
25.12E6,597.9E-3,876.0E-3
39.81E6,303.6E-3,488.0E-3
63.10E6,159.0E-3,244.5E-3
100.0E6,91.74E-3,107.3E-3
158.5E6,59.98E-3,44.11E-3
251.2E6,43.93E-3,20.41E-3
398.1E6,34.42E-3,11.92E-3
631.0E6,26.73E-3,8.039E-3
1.000E9,20.23E-3,5.861E-3
