Vbat ,VDDD (temp=-4.00e+01) (V),VDDD (temp=2.50e+01) (V),VDDD (temp=8.50e+01) (V),I0:1 (temp=-4.00e+01) (A),I0:1 (temp=2.50e+01) (A),I0:1 (temp=8.50e+01) (A),I0.Vopampout (temp=-4.00e+01) (V),I0.Vopampout (temp=2.50e+01) (V),I0.Vopampout (temp=8.50e+01) (V),I0.net06 (temp=-4.00e+01) (V),I0.net06 (temp=2.50e+01) (V),I0.net06 (temp=8.50e+01) (V)
1.600,-1.304,182.7E-3,248.2E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.090,279.0E-3,314.1E-3,-396.0E-3,182.7E-3,248.5E-3
1.650,-1.253,208.3E-3,273.2E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.140,322.4E-3,358.2E-3,-362.3E-3,208.3E-3,273.5E-3
1.700,-1.201,226.0E-3,298.3E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.189,371.8E-3,402.6E-3,-327.2E-3,226.0E-3,298.5E-3
1.750,-1.149,226.9E-3,320.2E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.237,430.8E-3,449.6E-3,-291.5E-3,226.9E-3,320.4E-3
1.800,-1.099,226.5E-3,324.0E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.283,490.3E-3,508.7E-3,-257.8E-3,226.5E-3,324.2E-3
1.850,-1.057,226.2E-3,324.3E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.317,549.6E-3,569.6E-3,-233.5E-3,226.2E-3,324.4E-3
1.900,-1.018,226.3E-3,324.0E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.341,608.7E-3,630.5E-3,-216.7E-3,226.3E-3,324.2E-3
1.950,-964.6E-3,226.5E-3,324.0E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.355,667.7E-3,691.3E-3,-201.8E-3,226.5E-3,324.1E-3
2.000,-186.1E-3,226.6E-3,324.1E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.079,726.7E-3,751.8E-3,-186.3E-3,226.6E-3,324.2E-3
2.050,-169.5E-3,226.8E-3,324.3E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.110,785.7E-3,812.4E-3,-169.5E-3,226.8E-3,324.4E-3
2.100,-151.5E-3,226.9E-3,324.5E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.141,844.8E-3,872.8E-3,-151.6E-3,226.9E-3,324.5E-3
2.150,-132.6E-3,227.0E-3,324.7E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.174,903.9E-3,933.3E-3,-132.6E-3,227.0E-3,324.7E-3
2.200,-114.1E-3,227.1E-3,324.8E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.209,963.2E-3,993.8E-3,-114.1E-3,227.1E-3,324.9E-3
2.250,-110.4E-3,227.2E-3,325.0E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.266,1.023,1.054,-110.5E-3,227.2E-3,325.0E-3
2.300,-110.3E-3,227.3E-3,325.1E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.329,1.082,1.115,-110.3E-3,227.3E-3,325.2E-3
2.350,-110.3E-3,227.4E-3,325.3E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.394,1.142,1.176,-110.3E-3,227.4E-3,325.3E-3
2.400,-110.3E-3,227.5E-3,325.4E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.460,1.202,1.238,-110.4E-3,227.5E-3,325.4E-3
2.450,-110.3E-3,227.6E-3,325.5E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.528,1.263,1.299,-110.4E-3,227.6E-3,325.5E-3
2.500,-110.4E-3,227.7E-3,325.6E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.598,1.324,1.362,-110.4E-3,227.7E-3,325.6E-3
2.550,-110.4E-3,227.8E-3,325.6E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.671,1.386,1.425,-110.4E-3,227.8E-3,325.6E-3
2.600,124.9E-3,227.8E-3,325.6E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.396,1.448,1.489,124.9E-3,227.8E-3,325.6E-3
2.650,125.0E-3,227.9E-3,325.5E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.458,1.512,1.553,125.0E-3,227.9E-3,325.5E-3
2.700,125.1E-3,228.0E-3,325.2E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.521,1.576,1.619,125.1E-3,228.0E-3,325.3E-3
2.750,125.2E-3,228.1E-3,324.8E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.585,1.641,1.686,125.2E-3,228.1E-3,324.8E-3
2.800,125.3E-3,228.2E-3,324.0E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.650,1.708,1.756,125.2E-3,228.2E-3,324.0E-3
2.850,125.3E-3,228.3E-3,322.7E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.717,1.777,1.827,125.3E-3,228.3E-3,322.7E-3
2.900,125.5E-3,228.4E-3,320.4E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.786,1.848,1.903,125.4E-3,228.3E-3,320.4E-3
2.950,125.6E-3,228.4E-3,316.6E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.857,1.921,1.984,125.5E-3,228.4E-3,316.6E-3
3.000,125.8E-3,228.5E-3,309.9E-3,-1.000E-3,-1.000E-3,-1.000E-3,1.930,1.998,2.073,125.7E-3,228.5E-3,309.9E-3
3.050,126.0E-3,228.7E-3,296.0E-3,-1.000E-3,-1.000E-3,-1.000E-3,2.004,2.077,2.178,125.9E-3,228.6E-3,295.8E-3
3.100,126.4E-3,229.0E-3,181.3E-3,-1.000E-3,-1.000E-3,-1.000E-3,2.079,2.157,2.453,126.2E-3,228.7E-3,134.7E-3
3.150,127.2E-3,229.6E-3,234.3E-3,-1.000E-3,-1.000E-3,-1.000E-3,2.153,2.237,2.440,126.7E-3,228.9E-3,223.6E-3
3.200,128.9E-3,231.1E-3,275.4E-3,-1.000E-3,-1.000E-3,-1.000E-3,2.227,2.316,2.469,127.6E-3,229.3E-3,266.0E-3
